rank	root_iast	dcs_lemma	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
60	1 aś / 2 aś	aś	достигли	flag	inflected,unknown	достигнуть		достигнуть:V:-:-			
61	rakṣ	rakṣ	охраняет	flag	inflected,unknown	охранять		охранять:V:-:-			
62	1 gā / 2 gā	gā	пришел	flag	inflected	прийти	4	прийти:V:4:591.06			
63	vah / vāh	vah	привези	flag	inflected,unknown	привезти		привезти:V:-:-			
64	bhṛ	bhṛ	принеси	flag	inflected,unknown	принести		принести:V:-:-			
65	śaṃs	śaṃs	скажи	flag	inflected	сказать	5	сказать:V:5:2472.22			
66	prī	prī	доволен	flag	inflected,unknown	довольный		довольный:A:-:-			
67	jap	jap	знатоков гимнов	flag	phrase,unknown			знаток:S:-:- гимн:S:-:-			
68	krudh	krudh	разгневанный	flag	unknown			разгневать:V:-:-			
69	snā	snā	омывшись	flag	inflected,unknown	омыться		омыться:V:-:-			
70	vyadh	vyadh	пронзил	flag	inflected,unknown	пронзить		пронзить:V:-:-			
71	vṛdh	vṛdh	возрастает	flag	inflected,unknown	возрастать		возрастать:V:-:-			
72	ram	ram	радуются	flag	inflected,unknown	радоваться		радоваться:V:-:-			
73	bhāṣ	bhāṣ	сказал	flag	inflected	сказать	5	сказать:V:5:2472.22			
74	1 pṛ / 2 pṛ / 3 pṛ	pṛ	полный	flag	unknown			полный:A:-:-			
75	1 naś / 2 naś	naś	погибнут	flag	inflected,unknown	погибнуть		погибнуть:V:-:-			
76	1 jṛ / 2 jṛ	jṛ	стареет	flag	inflected,unknown	стареть		стареть:V:-:-			
77	bhī	bhī	в страхе	ok	phrase		4	страх:S:4:151.52			
78	dviṣ	dviṣ	ненавидит	flag	inflected,unknown	ненавидеть		ненавидеть:V:-:-			
79	sev	sev	служит	flag	inflected,unknown	служить		служить:V:-:-			
80	yudh	yudh	в битве	flag	phrase,unknown			битва:S:-:-			
81	vadh	vadh	убил	flag	inflected,unknown	убить		убить:V:-:-			
82	dhṛ	dhṛ	наделенный	flag	unknown			наделить:V:-:-			
83	juṣ	juṣ	наслаждайся	flag	inflected,unknown	наслаждаться		наслаждаться:V:-:-			
84	vraj	vraj	загон	flag	unknown			загон:S:-:-			
85	1 kṣi / 2 kṣi	kṣi	живет	flag	inflected,unknown	жить		жить:V:-:-			
86	bhaj	bhaj	почитают	flag	inflected,unknown	почитать		почитать:V:-:-			
87	dhyā	dhyā	сумерки	flag	unknown			сумерки:S:-:-			
88	dham	dham	затрубили	flag	inflected,unknown	затрубить		затрубить:V:-:-			
89	dīp	dīp	пылающий	flag	unknown			пылать:V:-:-			
90	1 śam / 2 śam / 3 śam	śam	счастье	ok			3	счастие:S:3:29.48			
91	hṛṣ	hṛṣ	радостно	flag	unknown			радостно:ADV:-:-			
92	budh	budh	узнай	flag	inflected,unknown	узнать		узнать:V:-:-			
93	1 śī / 2 śī	śī	лежит	flag	inflected,unknown	лежать		лежать:V:-:-			
94	muh	muh	глупец	flag	unknown			глупец:S:-:-			
95	svap	svap	спит	flag	inflected_ambiguous,unknown			спать:V:-:-			
96	yach / yam	yam	подняв	flag	inflected,unknown	поднять		поднять:V:-:-			
97	mad	mad	я	ok							
98	dru	dru	ринулся	flag	inflected,unknown	ринуться		ринуться:V:-:-			
99	piṣ	piṣ	сжимая	flag	inflected,unknown	сжимать		сжимать:V:-:-			
100	spṛś	spṛś	коснулся	flag	inflected,unknown	коснуться		коснуться:V:-:-			
101	viś	viś	вошел	flag	inflected,unknown	войти		войти:V:-:-			
102	sad	sad	уселся	flag	inflected,unknown	усесться		усесться:V:-:-			
103	1 rudh / 2 rudh	rudh	приобретает	flag	inflected,unknown	приобретать		приобретать:V:-:-			
104	su	su	выжимающего	flag	inflected,unknown	выжимающий		выжимать:V:-:-			
105	av	av	на помощь	flag	phrase,unknown			помощь:S:-:-			
106	tṛ	tṛ	сойдя	flag	inflected,unknown	сойти		сойти:V:-:-			
107	dīkṣ	dīkṣ	видя	flag	inflected,unknown	видеть		видеть:V:-:-			
108	tuṣ	tuṣ	доволен	flag	inflected,unknown	довольный		довольный:A:-:-			
109	duṣ	duṣ	развращаются	flag	inflected,unknown	развращаться		развращаться:V:-:-			
110	jval	jval	пылающий	flag	unknown			пылать:V:-:-			
111	duh	duh	доится	flag	inflected,unknown	доиться		доиться:V:-:-			
112	sah	sah	могу	flag	inflected,unknown	мочь		мочь:V:-:-			
113	hiṃs	hiṃs	вредит	flag	inflected,unknown	вредить		вредить:V:-:-			
114	lip	lip	пятнается	flag	inflected,unknown	пятнаться		пятнаться:V:-:-			
115	khyā	khyā	в битве	flag	phrase,unknown			битва:S:-:-			
116	śuc	śuc	скорбит	flag	inflected,unknown	скорбеть		скорбеть:V:-:-			
117	vī	vī	птицы	flag	unknown			птица:S:-:-			
118	1 ci / 2 ci	ci	решив	flag	inflected,unknown	решить		решить:V:-:-			
119	yāc	yāc	попросил	flag	inflected,unknown	попросить		попросить:V:-:-			
120	bhañj	bhañj	разбиты	flag	inflected,unknown	разбитый		разбитый:V:-:-			
121	bhā	bhā	кажется	flag	inflected,unknown	казаться		казаться:V:-:-			
122	1 tan / 2 tan	tan	протянулся	flag	inflected,unknown	протянуться		протянуться:V:-:-			
123	cyu	cyu	отпадают	flag	inflected,unknown	отпадать		отпадать:V:-:-			
124	añj	añj	мажут	flag	inflected,unknown	мазать		мазать:V:-:-			
125	ad	ad	поедает	flag	inflected,unknown	поедать		поедать:V:-:-			
126	tṛp	tṛp	насытиться	flag	unknown			насытиться:V:-:-			
127	mṛd	mṛd	глины	flag	unknown			глина:S:-:-			
128	sic	sic	подливая	flag	inflected,unknown	подливать		подливать:V:-:-			
129	1 mā / 2 mā / 3 mā	mā	не	ok							
130	rud	rud	рыдая	flag	inflected,unknown	рыдать		рыдать:V:-:-			
131	nam	nam	склоняется	flag	inflected,unknown	склоняться		склоняться:V:-:-			
132	nind	nind	попрекает	flag	inflected,unknown	попрекать		попрекать:V:-:-			
133	1 śrī / 2 śrī	śrī	Шри	flag	unknown			шри:S:-:-			
134	vand	vand	приветствовал	flag	inflected,unknown	приветствовать		приветствовать:V:-:-			
135	mud	mud	радости	flag	unknown			радость:S:-:-			
136	bhram	bhram	блуждает	flag	inflected,unknown	блуждать		блуждать:V:-:-			
137	1 dhāv / 2 dhāv	dhāv	ринулся	flag	inflected,unknown	ринуться		ринуться:V:-:-			
138	path / paṭh	paṭh	читает	flag	inflected,unknown	читать		читать:V:-:-			
139	vṛṣ	vṛṣ	окатил	flag	inflected,unknown	окатить		окатить:V:-:-			
140	gup	gup	охраняемый	flag	unknown			охранять:V:-:-			
141	yat	yat	стремится	flag	inflected,unknown	стремиться		стремиться:V:-:-			
142	śubh	śubh	блистал	flag	inflected,unknown	блистать		блистать:V:-:-			
143	tvar	tvar	поспешно	flag	unknown			поспешно:ADV:-:-			
144	sru	sru	растекайся вокруг	flag	phrase,unknown			растекаться:V:-:-			
145	1 śās / 2 śās	śās	правил	flag	inflected,unknown	править		править:V:-:-			
146	sū	sū	родила	flag	inflected,unknown	родить		родить:V:-:-			
147	kup	kup	разгневался	flag	inflected,unknown	разгневаться		разгневаться:V:-:-			
148	gras	gras	поглотил	flag	inflected,unknown	поглотить		поглотить:V:-:-			
149	śā	śā	острыми	flag	inflected,unknown	острый		острый:A:-:-			
150	likh	likh	чертит	flag	inflected,unknown	чертить		чертить:V:-:-			
151	ruc	ruc	нравится	flag	inflected,unknown	нравиться		нравиться:V:-:-			
152	krīḍ	krīḍ	играет	flag	inflected,unknown	играть		играть:V:-:-			
153	cal	cal	последовал	flag	inflected,unknown	последовать		последовать:V:-:-			
154	ruh	ruh	взошел	flag	inflected,unknown	взойти		взойти:V:-:-			
155	śap	śap	проклял	flag	inflected,unknown	проклясть		проклясть:V:-:-			
156	math	math	похитил	flag	inflected,unknown	похитить		похитить:V:-:-			
157	īkṣ	īkṣ	увидев	flag	inflected	увидеть	4	увидеть:V:4:448.26			
158	guh	guh	скрытый	flag	unknown			скрыть:V:-:-			
159	gad	gad	сказал	flag	inflected	сказать	5	сказать:V:5:2472.22			
160	nad	nad	издал	flag	inflected,unknown	издать		издать:V:-:-			
161	bādh	bādh	прогони	flag	inflected,unknown	прогнать		прогнать:V:-:-			
162	śri	śri	полагаясь	flag	inflected,unknown	полагаться		полагаться:V:-:-			
163	trā	trā	спасти	flag	unknown			спасти:V:-:-			
164	krī	krī	купленный	flag	unknown			купить:V:-:-			
165	kṣam	kṣam	простить	flag	unknown			простить:V:-:-			
166	puṣ	puṣ	процветает	flag	inflected,unknown	процветать		процветать:V:-:-			
167	īś	īś	властвует	flag	inflected,unknown	властвовать		властвовать:V:-:-			
168	has	has	смеясь	flag	inflected,unknown	смеяться		смеяться:V:-:-			
170	kram	kram	вышел	flag	inflected,unknown	выйти		выйти:V:-:-			
171	arc	arc	почтив	flag	inflected,unknown	почтить		почтить:V:-:-			
172	lih	lih	облизывая	flag	inflected,unknown	облизывать		облизывать:V:-:-			
173	rāj	rāj	Вирадж	ok	name						
174	1 gṛ / 2 gṛ / 3 gṛ	gṛ	воспевают	flag	inflected,unknown	воспевать		воспевать:V:-:-			
175	vyath	vyath	отпрянут	flag	inflected,unknown	отпрянуть		отпрянуть:V:-:-			
176	ṛdh	ṛdh	процветающее	flag	unknown			процветать:V:-:-			
177	śram	śram	отдохнув	flag	inflected,unknown	отдохнуть		отдохнуть:V:-:-			
178	khad / khād	khād	грызет	flag	inflected,unknown	грызть		грызть:V:-:-			
179	svid	svid	же	ok							
180	prath	prath	прославленный	flag	unknown			прославить:V:-:-			
